company,education,experience,industry,jobdescription,joblocation,jobtitle,numberofpositions,skills,rating,pay
PKS & Associates,"UG: B.Tech/B.E. - Any Specialization, BCA - Computers PG:MCA - Computers Doctorate:Doctorate Not Required",5 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Senior Java Full Stack Developer - Java/ Spring 4 @ Bangalore, India Our client is an IT Company focused on Healthcare domain. They need to fill the following position asap. Position : Senior Java Full Stack Developer - Java/ Spring 4 ( Total 2 positions ). Should be able to join immediately or within 15 days max. Education : Engg/ BCA/ MCA/ Equivalent Experience : 5 Years Location : Bangalore Compensation : Competitive and commensurate with candidate caliber and experience Role - Responsibilities and Desired Profile : 1. Candidate should have these skills: Object Oriented Paradigm, Java, Spring 4 (Core, MVC, JDBC, Security), Java Web sockets, Java Cryptography Extension, Apache Commons (Codec, Collections, FileUpload, Compressor), Jersey, JSP, JSTL, NodeJS, Javascript / J-Query, Oracle, DevOps, Unit Testing 2. Should be a good team player and good on verbal and written communication Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills JSTL Java JDBC JSP Spring Javascript JQuery MVC Oracle Web Technologies Desired Candidate Profile Basic/UG Qualification:B Tech or equivalent Education- UG: B.Tech/B.E. - Any Specialization, BCA - Computers PG:MCA - Computers Doctorate:Doctorate Not Required Company Profile: PKS & Associates Client of PKS & Associates Download PPT Photo 1   View Contact Details",,Senior Java Full Stack Developer - Java/ Spring 4,2,,4,Not Disclosed by Recruiter
The HRism hiring for US based Product Client,UG: Any Graduate - Any Specialization PG:Any Postgraduate,3 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Candidate must be having minimum 2+ years of sound experience in Selenium Web Driver plus holding excellent experience in API Testing along with Automation. Job Role Strong development background on large projects on collaborative teams. Experience with Python,Perl, Ruby and Redis. Proven coding skills in Python,Java, C# or C++ on Unix/Linux platforms. Assist the sales and strategy team in acquiring the proper tags and assets. Experience writing or enhancing test harness/framework is desired. Database knowledge highly desired. Skills Required 3 to 7 years overall QA/development experience. Bachelor's degree in Computer Science, Computer Engineering or equivalent. Extensive experience with SQL scripting. Strong problem solving and analytical skills. Strong verbal and written communication skills. Demonstrates skill and passion for operational excellence. Excellent documentation skills. Personality You want to work in a small, agile team. You mentor other developers when needed. You work hard and dont need much oversight. You like variety in your projects. You want to be proud of what you do at your job Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - QA & Testing Role Category:Programming & Design Role:Testing Engineer Keyskills SQL Scripting Java Automation Testing Selenium Database API Testing Selenium Web Driver Automation Test Engineer White Box Testing Automation test analyst automation qa engineer automation qa analyst Desired Candidate Profile 3 to 7 years overall QA/development experience.Minimum 2+ years of sound experience in Automation Testing along with Selenium and should be good with API Testing.Bachelor's degree in Computer Science, Computer Engineering or equivalent.Extensive experience with SQL scripting.Strong problem solving and analytical skills.Strong verbal and written communication skills.Demonstrates skill and passion for operational excellence.Excellent documentation skills. Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Company Profile: The HRism US based Product Client The HRism is an IT Executive Search & HR Consulting firm based at Ahmedabad. About Client: Our client is US based Product Company who works on Advertising Domain, for more information about our client please feel free to ask. Download PPT Photo 1   View Contact Details",,Test Automation Engineer ( Selenium + API Testing) @ Ahmedabad,2,,0,Not Disclosed by Recruiter
Global Connections,"UG: Any Graduate - Any Specialization, B.Sc - Any Specialization, Maths, Physics, B.Com - Commerce PG:MCA - Computers, MBA/PGDM - Any Specialization, Hospitality Management, Advertising/Mass Communication, HR/Industrial Relations Doctorate:Doctorate Not Required",5 - 10 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Work & Settle in Canada (Express Entry )& Australia Attend personal Counselling on 15th Oct 2016 AT Hyderabad at Global Connections.#402, Viswa Central Plaza, Above Syndicate Bank,Lane Beside VIP Luggage Ameerpet, call 9246524047 Salary: Not Disclosed by Recruiter Industry: BPO / Call Centre / ITES Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:HR Manager Keyskills Hr Consulting Human Resource Planning hr executive planning Talent Management recruitment hiring performance management employee engagement employee relations industrial relations Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization, B.Sc - Any Specialization, Maths, Physics, B.Com - Commerce PG:MCA - Computers, MBA/PGDM - Any Specialization, Hospitality Management, Advertising/Mass Communication, HR/Industrial Relations Doctorate:Doctorate Not Required Company Profile: Global Connections Global Connexions a synonymous name in the immigration consulting business. We provide complete resettlement Solutions. We have the highest visa approval rate. We always aim at providing flawless immigration application service. Download PPT Photo 1   View Contact Details",,HR Managers in Demand in Canada & Australia,20,,3.5,Not Disclosed by Recruiter
Job Finder,"UG: B.Com - Commerce, B.B.A / B.M.S - Management PG:CA",10 - 16 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Hiring for R2R Operations Manager for Bangalore, CA with 10+ yrs of exp into R2R (Post qualification) Taxation & Audit Client management exp mandate (International client) TL exp of 50+ members Rajni(9213701010) rajni.jobsexpert@gmail.com Salary:INR 7,00,000 - 16,00,000 P.A. Night shifts+incentives Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Assistant Manager/Manager -(NonTechnical) Keyskills Operations Manager R2R Client management International client Record to report Reconciliation Desired Candidate Profile CA with 10+ yrs of exp into R2R (Post qualification) Taxation & Audit,Reconcilations,record to report Client management exp mandate (International client) TL exp of 50+ members 9213701010 rajni.jobsexpert@gmail.com Education- UG: B.Com - Commerce, B.B.A / B.M.S - Management PG:CA Company Profile: Job Finder A small, hard-working consulting firm based out of Delhi. Established in 2005, we hit the ground running with our direct approach to finding success. Large scale solutions, End to End Recruitment and RPO, we offer our clients the full package Download PPT Photo 1   View Contact Details",,R2R Operations Manager/bangalore - Upto 17 L,5,,3,"7,00,000 - 16,00,000 P.A. Night shifts+incentives"
Accel Frontline Limited,UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required,5 - 9 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Accel Frontline - CAC company Accel Frontline Ltd (BSE: 532774) is an IT services company based in Chennai, India. It was a joint-venture company between Accel Limited of Chennai and Frontline Technologies Corporation Limited of Singapore. Its main business is providing IT infrastructure management, software solutions and warranty management services. It operates through an all-India network of more than 100 locations in India and overseas offices in Dubai, Singapore, London, Tokyo and Santa Clara California. Jobs roles &Responsibilities: Position Title : Sr Software Engineer Work Location : Bangalore Job type : Permanent Experience : 6+ yrs Skills * Experience in C++ and VC++ with MFC * Strong foundation in Design and Unit Testing. * Strong analytical and problem solving skills. * Ability to learn new technologies, software, and concepts quickly is essential. Salary:INR 6,00,000 - 10,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills C++ MFC VC++ Software Engineering Unit Testing Management Services IT Services Software Solutions Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: Accel Frontline Limited Accel Frontline Limited (AFL) is one of the leading Systems and Technology Solutions Company based in India. Accel is a public limited company listed in Mumbai Stock Exchange (BSE) having revenues of USD 67+Million. In India we have 100+ offices with 3000+ engineers. We are present in 6 countries. In December 2013, CAC Corporation, Japan, a USD 400 Million worth company has invested in AFL, which will bring significantly growth. Download PPT Photo 1   View Contact Details",,"Immediate Opening for Sr VC++ , C++ Professionals at AFL",2,,2.7,"6,00,000 - 10,00,000 P.A"
Human Capital and Tech Solutions,UG: B.Tech/B.E. - Computers,6 - 11 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Need BE/B.Tech candidates with 6+ years of experience & 1 year experience in leading technical teams,designing and working with n-tier architectures with knowledge of Java EE, Mysql, Struts2, Spring,Hibernate,Rest, SOAP, HTML, Javascript, CSS, SCRUM Salary: + other benefits as may be applicable Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills Java EE Hibernate Spring Struts HTML Javascript Rest SOAP MySQL CSS SCRUM Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Computers Company Profile: Human Capital and Tech Solutions HCTS is a leading HR Consultancy catering to the HR requirements of its Clients. Download PPT Photo 1   View Contact Details",,Lead Engineer (java) with 6+ Years Experience Required at Bangalore,5,,5,#NAME?
Span Outsourcing Pvt. Ltd.,Doctorate:Doctorate Not Required,1 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Understand the Requirements, Source Profiles, Tele Screen the Candidates, Screen the candidates when they walkin and process the candidates till offer or rejection. Experience in placing Sales Profiles will be an added advantage. Salary:INR 2,00,000 - 3,00,000 P.A. Attractive Incentives Industry: BPO / Call Centre / ITES Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills Recruitment Recruiter Recruitment and Staffing Recruitment Executive talent acquisition hiring executive recruitment consultant staffing executive Desired Candidate Profile Good Communications Skills Ability to source profiles from various sources Education- Doctorate:Doctorate Not Required Company Profile: Span Outsourcing Pvt. Ltd. One of the Top Marketing Outsourcing Companies in the world that helps clients to sustain and grow. Download PPT Photo 1   View Contact Details",,Recruitment Executive,4,,3.2,"2,00,000 - 3,00,000 P.A. Attractive Incentives"
Hcl Technologies Limited,"UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization",5 - 10 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Currently, We are hiring for C and Linux Device Driver Developer. Kindly have a look at the job description below. Desired Qualification: BE/ B.Tech/ ME/ M.Tech/ MSc/ MCA. Experience: 5 to 11 years. Work Location: Bangalore. Role: Technical Lead/ Senior Technical Lead. 1. Must have an experience in C programming language. 2. Should be good in Arrays, Algorithm, Basic Input/ Output function, Binary tree, Bit operator, Data Structure, Debugging program in C, Linked list, Types of Linked list, Reverse Linked list, Pointers, String operator, etc. 3. Must have an experience in Linux/ Unix operating system concepts. 4. Must have an experience in Device driver developer such as- Kernel program, Boot loader/ u-boot, board support package, board bring up, etc. HOW TO APPLY: If you are interested in exploring the above opportunity, please confidentially e-mail a copy of your resume as an attachment to jatin.d@hcl.com If you are already happily employed, please feel free to circulate this requirement within your network. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - System Programming Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills Linux Unix Operating System C device driver developer bootloader board bring up uboot board support package Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Company Profile: Hcl Technologies Limited The HCL journey has been relentless, gratifying and marked with a series of achievements. Our unified efforts have catapulted the company from a garage start-up to a conglomerate whose businesses span across four verticals. HCL is humbled by the long journey they have made so far and at the same time, is confident of raging forward and scaling greater heights. Over the years, HCL has conscientiously set high business standards by way of providing sustainable, world-class products, solutions and services; a feat that has helped the organization to touch the lives of millions with possibilities. Founded in 1976 as one of India's original IT garage start-ups, HCL is a pioneer of modern computing with many firsts to its credit, including the introduction of the 8-bit microprocessor-based computer in 1978 well before its global peers. Today, the HCL enterprise has its presence across varied sectors that include technology, healthcare and talent management solutions. The organization, as a whole, comprises of four companies - HCL Infosystems, HCL Technologies, HCL Healthcare and HCL TalentCare. The enterprise generates annual revenue of over US$ 7 billion with more than 110,000 employees from 100 nationalities operating across 31 countries, including over 500 points of presence in India. Download PPT Photo 1   View Contact Details",,HCL Technologies Hiring for Linux Device Driver Developer,45,,3.2,Not Disclosed by Recruiter
United Capital Club,"UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Diploma - Any Specialization, B.Com - Commerce, B.A - Any Specialization",0 - 1 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this There are so many people spending 2 to 3 hour on internet. Here is an opportunity where you can earn initially 3k to 8k per week by spending just 2 to 3 hour per day at office or at home at your leisure time also. Anisha 9502349603 (HR) Salary:INR 2,00,000 - 4,00,000 P.A Industry: IT-Software / Software Services Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills Part Time work from home freelance full time computer operator marketing online internet marketing data entry freshers call center multilevelmarketing mass communication promotinal work internet surfing Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Diploma - Any Specialization, B.Com - Commerce, B.A - Any Specialization Company Profile: United Capital Club The services provided by UCC include pre-arranged tours, custom packages according to customers' specifications, requirements & budget. UCC seeks to differentiate itself as a brand more than a vendor in the tourism sector. Download PPT Photo 1   View Contact Details",,Available Part time / full time work at Top M.n.c Company-9502349603,25,,3.5,"2,00,000 - 4,00,000 P.A"
HireCraft Software Pvt Ltd,UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required,0 - 0 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this We have an 2 opening for Freshers. 1. Dot net Mandatory Skills: Asp.net, C#, HTTP protocol, Sql 2. UI Mandatory Skills: HTML, CSS, JavaScript & any OOP's concept Salary:INR 1,25,000 - 1,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - System Programming Role Category:Programming & Design Role:Software Developer Keyskills Dotnet Dot net Asp .Net Javascript Java Script HTML C# c#.net CSS Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: HireCraft Software Pvt Ltd HireCraftÂ® is a proven Leader in the Software products for Talent Acquisition and Manpower Staffing Business. With demonstrated leadership with 11+ years of continuous growth, we have nurtured the art of people process practices. Download PPT Photo 1   View Contact Details",,Associate Software Engineer (Dot net & UI),10,,2.9,"1,25,000 - 1,50,000 P.A"
